Date : 2021-12-05 14:58:44
Directory : /Users/icestorm/Desktop/bvu_dormitory
Total : 169 files,  13647 codes, 876 comments, 1754 blanks, all 16277 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| lib/screens/admin/manage/rooms/detail/invoices                                                                                      |          6 |      1,553 |         78 |        154 |      1,785 |
| lib/screens/admin/manage/rooms/detail/invoices/add                                                                                  |          4 |      1,367 |         76 |        130 |      1,573 |
| lib/screens/admin/manage/rooms/detail/invoices/add/widgets                                                                          |          2 |        763 |         34 |         60 |        857 |
| lib/screens/admin/manage/rooms/detail/items                                                                                         |          2 |        169 |          2 |         26 |        197 |
| lib/screens/admin/manage/rooms/detail/repairs                                                                                       |          2 |        318 |         12 |         30 |        360 |
| lib/screens/admin/manage/rooms/detail/services                                                                                      |          2 |        146 |          4 |         21 |        171 |
| lib/screens/admin/manage/rooms/detail/students                                                                                      |          4 |      1,016 |         43 |         95 |      1,154 |
| lib/screens/admin/manage/rooms/detail/students/add                                                                                  |          2 |        671 |         40 |         67 |        778 |
| lib/screens/admin/manage/rooms/widgets                                                                                              |          1 |         77 |         12 |         10 |         99 |
| lib/screens/admin/manage/services                                                                                                   |          4 |        437 |          8 |         53 |        498 |
| lib/screens/admin/manage/services/add                                                                                               |          2 |        268 |          5 |         31 |        304 |
| lib/screens/admin/manage/students                                                                                                   |          5 |        440 |         18 |         62 |        520 |
| lib/screens/admin/manage/students/exports                                                                                           |          2 |        155 |          8 |         33 |        196 |
| lib/screens/admin/manage/students/widgets                                                                                           |          1 |        206 |          5 |         15 |        226 |
| lib/screens/admin/manage/widgets                                                                                                    |          3 |        129 |          2 |         19 |        150 |
| lib/screens/shared                                                                                                                  |         15 |      1,234 |         57 |        151 |      1,442 |
| lib/screens/shared/403                                                                                                              |          1 |         26 |          0 |          3 |         29 |
| lib/screens/shared/404                                                                                                              |          1 |         27 |          0 |          3 |         30 |
| lib/screens/shared/home                                                                                                             |          1 |         43 |          0 |          8 |         51 |
| lib/screens/shared/login                                                                                                            |          6 |        520 |         49 |         75 |        644 |
| lib/screens/shared/login/widgets                                                                                                    |          4 |        279 |         20 |         24 |        323 |
| lib/screens/shared/messages                                                                                                         |          2 |        129 |          2 |         15 |        146 |
| lib/screens/shared/newsfeed                                                                                                         |          2 |        131 |          2 |         16 |        149 |
| lib/screens/shared/profile                                                                                                          |          2 |        358 |          4 |         31 |        393 |
| lib/screens/student                                                                                                                 |         20 |      2,182 |         76 |        242 |      2,500 |
| lib/screens/student/home                                                                                                            |          2 |        127 |          3 |         19 |        149 |
| lib/screens/student/profile                                                                                                         |          2 |        293 |          1 |         25 |        319 |
| lib/screens/student/room                                                                                                            |         16 |      1,762 |         72 |        198 |      2,032 |
| lib/screens/student/room/invoices                                                                                                   |          6 |        725 |         29 |         83 |        837 |
| lib/screens/student/room/invoices/detail                                                                                            |          4 |        604 |         23 |         64 |        691 |
| lib/screens/student/room/invoices/detail/widgets                                                                                    |          2 |        484 |         19 |         37 |        540 |
| lib/screens/student/room/items                                                                                                      |          2 |        138 |          1 |         24 |        163 |
| lib/screens/student/room/members                                                                                                    |          2 |         86 |          2 |         12 |        100 |
| lib/screens/student/room/repairs                                                                                                    |          2 |        103 |          5 |         20 |        128 |
| lib/screens/student/room/services                                                                                                   |          2 |        105 |          2 |         13 |        120 |
| lib/services                                                                                                                        |          1 |          2 |          1 |          1 |          4 |
| lib/services/notifications                                                                                                          |          1 |          2 |          1 |          1 |          4 |
| lib/widgets                                                                                                                         |          6 |        560 |         48 |         68 |        676 |
| test                                                                                                                                |          2 |         19 |         17 |          8 |         44 |
| test/screens                                                                                                                        |          1 |          5 |          7 |          2 |         14 |
| test/screens/shared                                                                                                                 |          1 |          5 |          7 |          2 |         14 |
| test/screens/shared/login                                                                                                           |          1 |          5 |          7 |          2 |         14 |
| web                                                                                                                                 |          2 |        114 |         17 |          7 |        138 |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                            | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/icestorm/Desktop/bvu_dormitory/README.md                                                                                     | Markdown   |         10 |          0 |          7 |         17 |
| /Users/icestorm/Desktop/bvu_dormitory/analysis_options.yaml                                                                         | YAML       |          3 |         23 |          4 |         30 |
| /Users/icestorm/Desktop/bvu_dormitory/android/app/build.gradle                                                                      | Groovy     |         70 |          5 |         19 |         94 |
| /Users/icestorm/Desktop/bvu_dormitory/android/app/local.properties                                                                  | Properties |          1 |          7 |          1 |          9 |
| /Users/icestorm/Desktop/bvu_dormitory/android/app/src/debug/AndroidManifest.xml                                                     | XML        |          6 |          4 |          2 |         12 |
| /Users/icestorm/Desktop/bvu_dormitory/android/app/src/main/AndroidManifest.xml                                                      | XML        |         57 |         16 |          8 |         81 |
| /Users/icestorm/Desktop/bvu_dormitory/android/app/src/main/res/drawable-v21/launch_background.xml                                   | XML        |          4 |          7 |          2 |         13 |
| /Users/icestorm/Desktop/bvu_dormitory/android/app/src/main/res/drawable/launch_background.xml                                       | XML        |          4 |          7 |          2 |         13 |
| /Users/icestorm/Desktop/bvu_dormitory/android/app/src/main/res/values-night/styles.xml                                              | XML        |          9 |          9 |          1 |         19 |
| /Users/icestorm/Desktop/bvu_dormitory/android/app/src/main/res/values/styles.xml                                                    | XML        |         10 |          9 |          1 |         20 |
| /Users/icestorm/Desktop/bvu_dormitory/android/app/src/profile/AndroidManifest.xml                                                   | XML        |          4 |          3 |          1 |          8 |
| /Users/icestorm/Desktop/bvu_dormitory/android/build.gradle                                                                          | Groovy     |         26 |          0 |          5 |         31 |
| /Users/icestorm/Desktop/bvu_dormitory/android/gradle.properties                                                                     | Properties |          3 |          0 |          1 |          4 |
| /Users/icestorm/Desktop/bvu_dormitory/android/gradle/wrapper/gradle-wrapper.properties                                              | Properties |          5 |          1 |          1 |          7 |
| /Users/icestorm/Desktop/bvu_dormitory/android/settings.gradle                                                                       | Groovy     |          8 |          0 |          4 |         12 |
| /Users/icestorm/Desktop/bvu_dormitory/ios/Runner/AppDelegate.swift                                                                  | Swift      |         12 |          0 |          2 |         14 |
| /Users/icestorm/Desktop/bvu_dormitory/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json                                   | JSON       |        122 |          0 |          1 |        123 |
| /Users/icestorm/Desktop/bvu_dormitory/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json                                 | JSON       |         23 |          0 |          1 |         24 |
| /Users/icestorm/Desktop/bvu_dormitory/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md                                     | Markdown   |          3 |          0 |          2 |          5 |
| /Users/icestorm/Desktop/bvu_dormitory/ios/Runner/Base.lproj/LaunchScreen.storyboard                                                 | XML        |         36 |          1 |          1 |         38 |
| /Users/icestorm/Desktop/bvu_dormitory/ios/Runner/Base.lproj/Main.storyboard                                                         | XML        |         25 |          1 |          1 |         27 |
| /Users/icestorm/Desktop/bvu_dormitory/ios/Runner/Runner-Bridging-Header.h                                                           | C++        |          1 |          0 |          1 |          2 |
| /Users/icestorm/Desktop/bvu_dormitory/l10n.yaml                                                                                     | YAML       |          3 |          0 |          1 |          4 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/app/app.controller.dart                                                                   | Dart       |         47 |          6 |         13 |         66 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/app/app.dart                                                                              | Dart       |         73 |          8 |         12 |         93 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/app/app.dialog.dart                                                                       | Dart       |          0 |         25 |          2 |         27 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/app/app.logger.dart                                                                       | Dart       |          2 |          0 |          2 |          4 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/app/app.notifications.dart                                                                | Dart       |         22 |          0 |          4 |         26 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/app/app.repository.dart                                                                   | Dart       |         26 |          3 |          7 |         36 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/app/constants/app.cities.dart                                                             | Dart       |         65 |          0 |          1 |         66 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/app/constants/app.colors.dart                                                             | Dart       |         39 |          5 |         10 |         54 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/app/constants/app.dimens.dart                                                             | Dart       |          0 |          0 |          1 |          1 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/app/constants/app.fonts.dart                                                              | Dart       |          0 |          0 |          1 |          1 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/app/constants/app.routes.dart                                                             | Dart       |         51 |         17 |          9 |         77 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/app/constants/app.styles.dart                                                             | Dart       |         18 |          0 |          3 |         21 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/app/constants/app.themes.dart                                                             | Dart       |         13 |          0 |          4 |         17 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/app/locales/app_en.arb                                                                    | JSON       |          3 |          0 |          1 |          4 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/app/locales/app_vi.arb                                                                    | JSON       |        286 |          0 |         54 |        340 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/base/base.controller.dart                                                                 | Dart       |        234 |          6 |         26 |        266 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/base/base.firestore.model.dart                                                            | Dart       |         10 |          1 |          4 |         15 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/base/base.firestore.repo.dart                                                             | Dart       |         11 |          0 |          3 |         14 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/base/base.screen.dart                                                                     | Dart       |         59 |         12 |         10 |         81 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/helpers/extensions/datetime.extensions.dart                                               | Dart       |          5 |          0 |          1 |          6 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/helpers/extensions/navigator.extensions.dart                                              | Dart       |          9 |          0 |          2 |         11 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/helpers/extensions/string.extensions.dart                                                 | Dart       |          6 |          0 |          2 |          8 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/helpers/extensions/user.extensions.dart                                                   | Dart       |          0 |          0 |          2 |          2 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/helpers/validators/string.validator.dart                                                  | Dart       |          0 |          0 |          1 |          1 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/main.dart                                                                                 | Dart       |         38 |          6 |         13 |         57 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/models/building.dart                                                                      | Dart       |         27 |          0 |          5 |         32 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/models/floor.dart                                                                         | Dart       |         21 |          0 |          5 |         26 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/models/invoice.dart                                                                       | Dart       |        113 |          3 |         20 |        136 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/models/item.dart                                                                          | Dart       |         75 |          6 |         14 |         95 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/models/repair_request.dart                                                                | Dart       |         35 |          0 |          5 |         40 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/models/room.dart                                                                          | Dart       |         22 |          0 |          6 |         28 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/models/service.dart                                                                       | Dart       |         92 |          8 |         16 |        116 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/models/user.dart                                                                          | Dart       |        152 |         14 |         25 |        191 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/repositories/auth.repository.dart                                                         | Dart       |         44 |          7 |          9 |         60 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/repositories/building.repository.dart                                                     | Dart       |         37 |          4 |         11 |         52 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/repositories/invoice.repository.dart                                                      | Dart       |         51 |          1 |         10 |         62 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/repositories/item.repository.dart                                                         | Dart       |        155 |          9 |         25 |        189 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/repositories/repair_request.repository.dart                                               | Dart       |         32 |          1 |          8 |         41 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/repositories/room.repository.dart                                                         | Dart       |         53 |          1 |         13 |         67 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/repositories/service.repository.dart                                                      | Dart       |         65 |          2 |         16 |         83 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/repositories/student.repository.dart                                                      | Dart       |         50 |          1 |         12 |         63 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/repositories/user.repository.dart                                                         | Dart       |         41 |          1 |         10 |         52 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/home/home.controller.dart                                                   | Dart       |         69 |          3 |         13 |         85 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/home/home.screen.dart                                                       | Dart       |         66 |          2 |          9 |         77 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/buildings/buildings.controller.dart                                  | Dart       |        161 |          6 |         17 |        184 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/buildings/buildings.screen.dart                                      | Dart       |         60 |         32 |          9 |        101 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/buildings/search/buildings.search.controller.dart                    | Dart       |          8 |          0 |          2 |         10 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/buildings/search/buildings.search.screen.dart                        | Dart       |         24 |          0 |          6 |         30 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/buildings/widgets/buildings.body.dart                                | Dart       |        153 |         31 |         13 |        197 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/invoices/invoices.controller.dart                                    | Dart       |          8 |          0 |          2 |         10 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/invoices/invoices.screen.dart                                        | Dart       |        108 |          2 |         16 |        126 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/items/groups/detail/items.groups.detail.controller.dart              | Dart       |        378 |         18 |         24 |        420 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/items/groups/detail/items.groups.detail.screen.dart                  | Dart       |        122 |          2 |         19 |        143 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/items/groups/items.groups.controller.dart                            | Dart       |        220 |          6 |         17 |        243 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/items/groups/items.groups.screen.dart                                | Dart       |         87 |          1 |         15 |        103 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/items/items.controller.dart                                          | Dart       |        163 |          6 |         17 |        186 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/items/items.screen.dart                                              | Dart       |         82 |          1 |         14 |         97 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/manage.controller.dart                                               | Dart       |         78 |          0 |          8 |         86 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/manage.screen.dart                                                   | Dart       |        161 |          5 |         11 |        177 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/repairs/repairs.controller.dart                                      | Dart       |         11 |          0 |          2 |         13 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/repairs/repairs.screen.dart                                          | Dart       |        114 |          2 |         20 |        136 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/reports/reports.controller.dart                                      | Dart       |         78 |          0 |          3 |         81 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/reports/reports.screen.dart                                          | Dart       |         43 |         13 |         10 |         66 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/rooms/detail/images/rooms.detail.images.body.dart                    | Dart       |         31 |         25 |         10 |         66 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/rooms/detail/images/rooms.detail.images.controller.dart              | Dart       |         23 |          0 |          6 |         29 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/rooms/detail/images/rooms.detail.images.screen.dart                  | Dart       |         45 |          1 |          9 |         55 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/rooms/detail/invoices/add/rooms.detail.invoices.add.controller.dart  | Dart       |        492 |         38 |         59 |        589 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/rooms/detail/invoices/add/rooms.detail.invoices.add.screen.dart      | Dart       |        112 |          4 |         11 |        127 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/rooms/detail/invoices/add/widgets/invoice.dart                       | Dart       |        659 |         34 |         48 |        741 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/rooms/detail/invoices/add/widgets/payments.dart                      | Dart       |        104 |          0 |         12 |        116 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/rooms/detail/invoices/rooms.detail.invoices.controller.dart          | Dart       |         62 |          0 |          7 |         69 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/rooms/detail/invoices/rooms.detail.invoices.screen.dart              | Dart       |        124 |          2 |         17 |        143 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/rooms/detail/items/rooms.detail.items.controller.dart                | Dart       |         41 |          0 |          4 |         45 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/rooms/detail/items/rooms.detail.items.screen.dart                    | Dart       |        128 |          2 |         22 |        152 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/rooms/detail/repairs/rooms.detail.repairs.controller.dart            | Dart       |        211 |          8 |         12 |        231 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/rooms/detail/repairs/rooms.detail.repairs.screen.dart                | Dart       |        107 |          4 |         18 |        129 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/rooms/detail/rooms.detail.controller.dart                            | Dart       |        121 |         20 |         10 |        151 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/rooms/detail/rooms.detail.screen.dart                                | Dart       |         71 |          0 |         11 |         82 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/rooms/detail/services/rooms.detail.services.controller.dart          | Dart       |         46 |          2 |          8 |         56 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/rooms/detail/services/rooms.detail.services.screen.dart              | Dart       |        100 |          2 |         13 |        115 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/rooms/detail/students/add/rooms.details.students.add.controller.dart | Dart       |        494 |         35 |         46 |        575 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/rooms/detail/students/add/rooms.details.students.add.screen.dart     | Dart       |        177 |          5 |         21 |        203 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/rooms/detail/students/rooms.detail.students.controller.dart          | Dart       |        232 |          3 |         17 |        252 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/rooms/detail/students/rooms.detail.students.screen.dart              | Dart       |        113 |          0 |         11 |        124 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/rooms/rooms.controller.dart                                          | Dart       |        129 |          4 |         13 |        146 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/rooms/rooms.screen.dart                                              | Dart       |         52 |          6 |         11 |         69 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/rooms/widgets/rooms.body.dart                                        | Dart       |         77 |         12 |         10 |         99 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/services/add/services.add.controller.dart                            | Dart       |        171 |          4 |         18 |        193 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/services/add/services.add.screen.dart                                | Dart       |         97 |          1 |         13 |        111 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/services/services.controller.dart                                    | Dart       |         75 |          1 |          7 |         83 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/services/services.screen.dart                                        | Dart       |         94 |          2 |         15 |        111 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/students/exports/students.export.screen.dart                         | Dart       |         36 |          0 |          8 |         44 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/students/exports/students.exports.controller.dart                    | Dart       |        119 |          8 |         25 |        152 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/students/students.controller.dart                                    | Dart       |         36 |          0 |          5 |         41 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/students/students.screen.dart                                        | Dart       |         43 |          5 |          9 |         57 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/students/widgets/student.stats.dart                                  | Dart       |        206 |          5 |         15 |        226 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/widgets/manage.charts.dart                                           | Dart       |         32 |          1 |          6 |         39 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/widgets/manage.menu.dart                                             | Dart       |         81 |          1 |          9 |         91 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/widgets/manage.search.dart                                           | Dart       |         16 |          0 |          4 |         20 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/shared/403/403.screen.dart                                                        | Dart       |         26 |          0 |          3 |         29 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/shared/404/404.screen.dart                                                        | Dart       |         27 |          0 |          3 |         30 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/shared/home/home.screen.dart                                                      | Dart       |         43 |          0 |          8 |         51 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/shared/login/login.controller.dart                                                | Dart       |        153 |         23 |         39 |        215 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/shared/login/login.screen.dart                                                    | Dart       |         88 |          6 |         12 |        106 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/shared/login/widgets/login.login_button.dart                                      | Dart       |         55 |          1 |          9 |         65 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/shared/login/widgets/login.otp_bottomsheet.dart                                   | Dart       |        134 |         18 |          8 |        160 |
| /Users/icestorm/Desktop/bvu_dormitory/lib/screens/shared/login/widgets/login.phone_field.dart                                       | Dart       |         64 |          1 |          4 |         69 |
